name,msa,source,tagline,location,url
Achieveit,atlanta,engage_ventures,AchieveIt is a cloud-based enterprise software that provides leaders top-down visibility into strategic plans and day-to-day activities that support business goals.,"Atlanta, GA",http://www.achieveit.com/#new_tab
Adpipe White,atlanta,engage_ventures,"AdPipe is a motion-first marketing platform that harnesses AI for seamless video creation, distribution, and engagement across multiple channels, utilizing existing videos.","Athens, GA",https://adpipe.com/#new_tab
Aetos Logo White Normal 1 E,atlanta,engage_ventures,Aetos is a platform that has reimagined the way businesses maintain and operate their facilities. We leverage 3D technology to create a visual experience that unleashes a completely new level of efficiency for the people who run these buildings every day.,"Atlanta, GA",https://aetosimaging.com/#new_tab
Airia,atlanta,engage_ventures,"Designed to accelerate adoption and streamline operations, Airia's platform enables you to securely build, deploy, and manage AI-powered agents and solutions at scale.","Atlanta, GA",https://airia.com/?gad_source=1&gad_campaignid=23148227909&gbraid=0AAAAA_Y29P1LtaN6PaKU0YloTt0H2WPle&gclid=Cj0KCQiA5abIBhCaARIsAM3-zFVDEB4y3l43gb4AruSK5e7-RJnna1LhmYYuEE4cHm0wZOOlSsX1Tk8aAkrMEALw_wcB#new_tab
Arborxr,atlanta,engage_ventures,"ArborXR powers XR at scale with enterprise-grade device management, content distribution, and learner analytics, trusted by 60+ Fortune 500 companies.","Norman, OK",https://arborxr.com/#new_tab
Autonoma Logo White E,atlanta,engage_ventures,"Autonoma bridges the gap between the physical and virtual worlds, harnessing active digital twins to accelerate innovation in mobility, robotics, and the infrastructure of tomorrow.","Auburn, AL",https://autonoma.ai/en#new_tab
Bf White,atlanta,engage_ventures,Blue Frontier addresses climate change by commercializing a groundbreaking cooling and dehumidification technology that slashes electricity use and shifts consumption to clean energy generation using embedded energy storage.,"Fort Lauderdale, FL",https://bluefrontierac.com/#new_tab
Bee Downtown,atlanta,engage_ventures,Bee Downtown is rebuilding the vital bee population with a full service sustainability and employee engagement solution for enterprise.,"Durham, NC",https://www.bee-downtown.com/#new_tab
Copy Of Birdstop Logo Horizontal,atlanta,engage_ventures,Birdstop helps enterprises collect and manage data at scale for their distributed physical assets by using autonomous drones and sensors to capture real-time data without personnel onsite.,"Concord, CA",https://www.birdstop.io/#new_tab
Bluedot White,atlanta,engage_ventures,Bluedot enables enterprises to connect with their customers  - from off-premise to on-premise - at the right moments anywhere along the journey.,"San Francisco, CA",https://bluedot.io/#new_tab
